"","city","state"
"208788","EMINENCE","24"
"40","SUMMERDALE","1"
"93946","MOUNT AIRY","10"
"166452","SUGAR HILL","28"
"172890","LINN VALLEY","15"
"36106","ANDALE","15"
"17656","FLAGLER","5"
"223274","GUY","3"
"7166","MIDDLETON","41"
"70174","HOPKINS","21"
"131535","HAWLEY","42"
"179195","CADDO VALLEY","3"
"156230","GREENSBORO","9"
"161102","COWARD","39"
"202955","PELION","39"
"33689","CRAIG","50"
"174370","JOLIET","25"
"188287","KIOWA","5"
"9235","NEW CASTLE","5"
"34608","CRIPPLE CREEK","5"
"178738","PEPIN","48"
"8394","SKAGWAY","50"
"92009","TOLEDO","46"
"166506","LANGDON","28"
"169237","FRIENDSHIP","41"
"5141","MAGNOLIA","32"
"157090","TICKFAW","17"
"5301","OAKBORO","32"
"16375","ILWACO","46"
"99250","HARLEYVILLE","39"
"6652","DELAWARE WATER GAP BORO","37"
"199882","NAYLOR","24"
"5137","FAISON","32"
"5097","PINE KNOLL SHORES","32"
"32776","RANSOM CANYON","42"
"182314","CLEVELAND","24"
"223099","EXCEL","1"
"164","HAYNEVILLE","1"
"1463","PLAINS","10"
"48740","MIFFLIN","37"
"186464","EAST MOUNTAIN","42"
"2461","BURNSIDE","16"
"145809","COTTAGEVILLE","39"
"7972","RUSTON","46"
"15357","NEW SHOREHAM","38"
"182476","IBERIA","24"
"131758","THRALL","42"
"147499","SILVERHILL","1"
"6876","PENN BORO","37"
"204243","COULEE CITY","46"
"420","GREENLAND","3"
"22","MORRIS","1"
"162196","HAYMARKET","45"
"182641","BIRCH TREE","24"
"9252","IGNACIO","5"
"1044","MEXICO BEACH","9"
"22640","COBURG","36"
"5788","PORUM","35"
"241","ADDISON","1"
"156128","MICANOPY","9"
"74772","HUTTO","42"
"161239","CHARLESTON","41"
"1201","OAKLAND","9"
"182571","BELLA VILLA","24"
"3277","ROSE CITY","21"
"154656","SWINOMISH TRIBAL","46"
"185","GRANT","1"
"190664","KIMBALL","22"
"190803","NEW BLOOMFIELD","24"
"7977","LA CONNER","46"
"99286","ELGIN","39"
"182503","ALTON","24"
"260628","TRENTON","42"
"2323","PEMBROKE","16"
"3334","MORRICE","21"
"1318","RAY CITY","10"
"7200","MONTEAGLE","41"
"161404","WINFIELD","41"
"41850","BINGEN","46"
"5142","CALYPSO","32"
"11626","DRYDEN","21"
"136720","CHOCOWINITY","32"
"5207","HIGHLANDS","32"
"93962","HOSCHTON","10"
"149150","HAGERMAN","11"
"7640","WESTOVER HILLS","42"
"49","SNEAD","1"
"7466","SEVEN POINTS","42"
"3079","OTISVILLE","21"
"4999","SODUS VILLAGE","31"
"169170","ESTELLINE","40"
"9274","LOG LANE VILLAGE","5"
"131045","MAYESVILLE","39"
"114","IDER","1"
"176891","CLAYSVILLE","37"
"99274","YEMASSEE","39"
"3229","GRANT","21"
"182490","LAURIE","24"
"2331","BROWNSVILLE","16"
"7051","PROSPERITY","39"
"5245","SEABOARD","32"
"5897","SISTERS","36"
"154655","SKOKOMISH TRIBAL","46"
"182483","JONESBURG","24"
"7793","HALIFAX","45"
"43745","CANON","10"
"1290","CENTER HILL","9"
"143189","LAKE OZARK","24"
"68722","LUTHERSVILLE","10"
"182675","FORDLAND","24"
"15394","MCBEE","39"
"446","PLYMOUTH","4"
"26007","AVON","5"
"171","OWENS CROSS ROADS","1"
"5323","HOLLY SPRINGS","32"
"6267","VINTONDALE BOROUGH","37"
"182567","IRON MOUNTAIN LAKE","24"
"2322","CROFTON","16"
"196340","QUITMAN","3"
"254684","ONAGA","15"
"43697","BALL GROUND","10"
"182230","BYHALIA","23"
"1413","FRANKLIN","10"
"118856","COGGON","14"
"868","BAYFIELD","5"
"93961","ARCADE","10"
"5507","INDIAN HILL","34"
"7155","ARDMORE","41"
"179","BRILLIANT","1"
"4000","NEWINGTON","28"
"8404","NORTH POLE","50"
"3323","LEXINGTON","21"
"64313","OLD FORT","32"
"212387","PONDER","42"
"216503","SAVOY","20"
"5093","ATLANTIC BEACH","32"
"212404","MILFORD","42"
"351","VILONIA","3"
"5235","MIDDLESEX","32"
"3806","WEST YELLOWSTONE","25"
"99231","FORT LAWN","39"
"114028","CLEVELAND","32"
"182457","WINFIELD","24"
"169","GURLEY","1"
"4545","QUESTA","30"
"77040","MOUNTAIN CITY","10"
"25347","ODENVILLE","1"
"35095","ROBERTA","10"
"2717","TRAPPE","19"
"3311","MEMPHIS","21"
"216278","MARION","17"
"50071","DOVER","44"
"92007","NAPAVINE","46"
"1291","WEBSTER","9"
"132206","TIETON","46"
"141007","OURAY","5"
"258073","KILLDEER","33"
"26593","BALDWIN","10"
"99211","BLUFFTON","39"
"21850","LAUREL PARK","32"
"161372","TELLICO PLAINS","41"
"208099","BLACKDUCK","22"
"8534","KILLEN","1"
"5223","STAR","32"
"93294","HOTCHKISS","5"
"5839","OOLOGAH","35"
"2035","BURNS HARBOR","13"
"5197","PINE LEVEL","32"
"3349","GOBLES","21"
"50464","GRANVILLE","47"
"190596","SILVER LAKE","22"
"182562","OSCEOLA","24"
"190957","WAVERLY","24"
"777","TULELAKE","4"
"162622","ELK MOUND","48"
"3044","FARWELL","21"
"166330","ST. IGNATIUS","25"
"1039","WALDO","9"
"844","GEORGETOWN","5"
"39738","GERVAIS","36"
"3140","PARMA","21"
"147008","SUMAS","46"
"150069","PARMA SANDSTONE","21"
"7256","WATERTOWN","41"
"9224","ELIZABETH","5"
"2402","BROMLEY","16"
"113815","YAUPON BEACH","32"
"177127","WHITEWOOD","40"
"22633","MERRILL","36"
"31","MOUNT VERNON","1"
"16270","SAINT PAUL","45"
"7321","BERTRAM","42"
"169247","ALEXANDRIA","41"
"5096","EMERALD ISLE","32"
"182498","DIAMOND","24"
"1323","RICHMOND HILL","10"
"533","BRADBURY","4"
"52202","PINE MOUNTAIN","10"
"219433","SARDINIA","34"
"170886","AUTAUGAVILLE","1"
"222977","LEESBURG","1"
"771","DORRIS","4"
"3045","FROST TOWNSHIP","21"
"7787","MIDDLETOWN","45"
"9291","BRECKENRIDGE","5"
"139849","THERESA","48"
"1162","MINNEOLA","9"
"1451","ARAGON","10"
"206","RIVERSIDE","1"
"2697","EDMONSTON","19"
"93720","HYPOLUXO","9"
"129404","MAYSVILLE","32"
"190986","SOUTHWEST CITY","24"
"18318","CHALLIS","11"
"102129","EUHARLEE","10"
"110908","SPIRIT LAKE","11"
"6204","HULMEVILLE","37"
"877","MANCOS","5"
"4526","RUIDOSO DOWNS","30"
"6993","LAKEVIEW","39"
"3351","LAWRENCE","21"
"5228","PINEBLUFF","32"
"5104","CLAREMONT","32"
"5129","MANTEO","32"
"1016","DELMAR","7"
"194488","BARTLETT","42"
"134958","PARMA.SANDSTONE","21"
"127","SARDIS CITY","1"
"108854","TWISP","46"
"98","LEVEL PLAINS","1"
"177754","GODLEY","42"
"187434","WOODSTOCK","1"
"14696","KIDDER TOWNSHIP","37"
"2981","DOUGLAS","21"
"91233","MARTINDALE","42"
"16846","CREOLA","1"
"7944","CARNATION","46"
"64248","COOLEEMEE","32"
"16199","KILMARNOCK","45"
"900","KERSEY","5"
"53133","HIGHLAND","15"
"1302","OAK HILL","9"
"507","MARICOPA","4"
"41890","GRANITE FALLS","46"
"22672","ROCKAWAY","36"
"2662","RIDGELY","19"
"3643","FLOWOOD","23"
"154032","ARCOLA","42"
"7799","LOUISA","45"
"92616","BEAR CREEK","1"
"33193","REPUBLIC","46"
"152690","FALLS CITY","36"
"166444","FRANCONIA","28"
"47391","KITTY HAWK","32"
"17715","PIERCE","5"
"66565","WEST TAWAKONI","42"
"94009","GEORGETOWN","10"
"18136","WOODBINE","10"
"157058","FRENCH SETTLEMENT","17"
"1940","CHERRY VALLEY","12"
"99554","JOHNSON CITY","42"
"9234","SILT","5"
"7525","LEXINGTON","42"
"121627","SHARPSBURG","32"
"139538","LANGLEY","46"
"182531","HUMANSVILLE","24"
"7600","TATUM","42"
"1411","BUCHANAN","10"
"25981","COLUMBINE VALLEY","5"
"205057","DOUBLE SPRINGS","1"
"1289","BUSHNELL","9"
"14078","WESTVILLE","35"
"69657","GRANDVIEW PLAZA","15"
"303","PATAGONIA MARSHALS OFF","2"
"22678","ATHENA","36"
"670","COLFAX","4"
"5130","NAGS HEAD","32"
"14153","MEEKER","35"
"120987","TEXICO","30"
"97540","SHALLOTTE","32"
"182488","STOVER","24"
"41901","RAINIER","46"
"83958","SOMERSET","48"
"4314","ENGLISHTOWN","29"
"211881","MARTIN","40"
"890","SILVERTHORNE","5"
"3965","WOODSTOCK","28"
"186151","WAELDER","42"
"3292","BIRCH RUN","21"
"7213","BENTON","41"
"7280","MORGANS POINT RESORT","42"
"26097","AULT","5"
"7966","EATONVILLE","46"
"91252","ALTO","42"
"23995","WALLIS","42"
"17630","EAGLE","5"
"41225","CRYSTAL BEACH","42"
"3795","HARLEM","25"
"161297","RUTLEDGE","41"
"7513","KEMP","42"
"48568","SOUTH COATESVILLE","37"
"176094","FLETCHER","35"
"78013","LA CYGNE","15"
"116645","WAITSBURG","46"
"84894","MONUMENT","5"
"12127","INVERNESS","23"
"32424","SPRING HILL","41"
"50296","WINLOCK","46"
"251622","ATHENS","48"
"182280","COLE CAMP","24"
"5115","FAIR BLUFF","32"
"87738","UTICA","23"
"2990","BARAGA","21"
"26522","BROOKLET","10"
"253","FREDONIA","2"
"556","IRWINDALE","4"
"58448","MANOR","42"
"4983","LAKE GEORGE VILLAGE","31"
"7561","PATTON VILLAGE","42"
"49734","QUINLAN","42"
"237","CHATOM","1"
"1161","MASCOTTE","9"
"71186","GRANTHAM","28"
"5053","TAYLORSVILLE","32"
"8367","PINE BLUFFS","49"
"1377","SPRINGFIELD","10"
"36791","BELLAIRE","21"
"7905","RIDGEFIELD","46"
"14292","PORT ORFORD","36"
"152410","COLBERT","35"
"220231","WEST MAYFIELD BOROUGH","37"
"2695","COTTAGE CITY","19"
"15434","RIDGELAND","39"
"9289","TELLURIDE","5"
"7808","EXMORE","45"
"141265","MIDWAY","9"
"53132","ELWOOD","15"
"31184","AMITY","36"
"9712","STATHAM","10"
"156093","WYOMING","7"
"7437","GRUVER","42"
"161396","RIDGETOP","41"
"3231","WHITE CLOUD","21"
"19981","HOWARD CITY","21"
"43680","EDISON","10"
"82981","KEMAH","42"
"49931","WALLER","42"
"131668","BULLARD","42"
"1043","CEDAR GROVE","9"
"843","NEDERLAND","5"
"112689","MANHATTAN","25"
"5303","WALNUT COVE","32"
"13695","PILOT MOUNTAIN","32"
"8072","CHAPMANVILLE","47"
"14348","TURNER","36"
"6129","HYNDMAN BORO","37"
"131604","MAGNOLIA","42"
"196367","MARMADUKE","3"
"91706","MORONI","43"
"8135","SOPHIA","47"
"1363","GRANTVILLE","10"
"54219","BROWN CITY","21"
"129740","HOLLAND","34"
"57392","DUBOISTOWN","37"
"62","CEDAR BLUFF","1"
"3333","LAINGSBURG","21"
"7943","BLACK DIAMOND","46"
"41572","WENDOVER","43"
"853","PALMER LAKE","5"
"4237","WOOLWICH","29"
"32868","DALWORTHINGTON GARDENS","42"
"131586","BRUCEVILLE-EDDY","42"
"1029","MILLSBORO","7"
"32517","SOMERSET","42"
"1224","MANGONIA PARK","9"
"7910","KALAMA","46"
"9653","INDIAN SHORES","9"
"1407","CLARKESVILLE","10"
"254220","SOUTH PEKIN","12"
"204363","WOODWAY","46"
"6342","LOCUST TOWNSHIP","37"
"66404","EDEN","42"
"161854","THORNDALE","42"
"7296","VALLEY MILLS","42"
"8108","STAR CITY","47"
"8304","LAKE DELTON","48"
"139","MOUNDVILLE","1"
"152258","VILLAGE OF LEESBURG","34"
"169364","VONORE","41"
"1001","CLAYTON","7"
"7201","KIMBALL","41"
"857","KREMMLING","5"
"169757","PENITAS","42"
"109586","WELLTON","2"
"273268","KEENESBURG","5"
"7250","GLEASON","41"
"153633","GROTON","40"
"4016","NEW DURHAM","28"
"173033","STERLINGTON","17"
"4134","PEMBERTON","29"
"7657","BIG SANDY","42"
"59045","ROME TOWN","48"
"153","ROGERSVILLE","1"
"5782","LOCUST GROVE","35"
"190987","GOODMAN","24"
"7918","SOAP LAKE","46"
"7961","LONG BEACH","46"
"5306","DOBSON","32"
"904","FIRESTONE","5"
"9270","OLATHE","5"
"7840","CHILHOWIE","45"
"68639","SPARKS","10"
"25982","PAGOSA SPRINGS","5"
"6983","CHESTERFIELD","39"
"1015","BRIDGEVILLE","7"
"7025","HARDEEVILLE","39"
"34992","NORTH REDINGTON BEACH","9"
"79641","WELLS","27"
"6605","PRINGLE BORO","37"
"3556","NEW PRAGUE","22"
"4357","CHESTER","29"
"196459","OLA","3"
"3920","CARLIN","27"
"7817","CHATHAM","45"
"14200","MORRIS","35"
"22467","KINGSTON","35"
"2723","DELMAR","19"
"172019","CARRABELLE","9"
"3961","LINCOLN","28"
"36033","NORTH NEWTON","15"
"1510","WILDER","11"
"1141","ZOLFO SPRING","9"
"3933","NEW HAMPTON","28"
"3230","NEWAYGO","21"
"74384","PARKER","42"
"37","GULF SHORES","1"
"9303","ERIE","5"
"2805","GILL","20"
"178779","BLAIR","48"
"9293","FRISCO","5"
"74417","GLENN HEIGHTS","42"
"85353","FLOWERY BRANCH","10"
"1030","SELBYVILLE","7"
"2698","FAIRMOUNT HEIGHTS","19"
"126990","RICHWOOD","17"
"137305","HINTON","35"
"5972","CARLTON","36"
"141278","LAKE PLACID","9"
"1299","DAYTONA BEACH SHORES","9"
"168243","ROCKAWAY BEACH","36"
"690","SAN JUAN BAUTISTA","4"
"92057","KETTLE FALLS","46"
"4548","MORIARTY","30"
"11954","SPRING PARK","22"
"15603","BAXTER","41"
"109085","FOX LAKE","48"
"14352","BOARDMAN","36"
"54214","CENTREVILLE","21"
"83962","SPRING GREEN","48"
"775","MONTAGUE","4"
"14335","WALDPORT","36"
"5139","ROSE HILL","32"
"125085","ARGO","1"
"186153","COLLINSVILLE","42"
"11680","STANTON","21"
"7158","TRACY CITY","41"
"5225","PINEHURST","32"
"1431","LEESBURG","10"
"220224","WHITE TOWNSHIP","37"
"80328","PHILMONT VILLAGE","31"
"132371","COTTAGE GROVE","48"
"116205","PELICAN BAY","42"
"2730","OCEAN PINES","19"
"2454","OWENTON","16"
"131399","FLATONIA","42"
"182642","WINONA","24"
"35153","LUDOWICI","10"
"5216","HUNTERSVILLE","32"
"116274","WILLARD","43"
"41134","MONT BELVIEU","42"
"5220","BISCOE","32"
"11612","SCHOOLCRAFT","21"
"5107","PITTSBORO","32"
"1226","OCEAN RIDGE","9"
"24760","YELM","46"
"164640","NORTH LIBERTY","13"
"132069","ROYAL CITY","46"
"22305","NAVARRE","34"
"5355","WATFORD CITY","33"
"1603","EAST HAZEL CREST","12"
"196323","DECATUR","3"
"7177","MCEWEN","41"
"169575","MELISSA","42"
"7947","SNOQUALMIE","46"
"196416","DOVER","3"
"3308","CAPAC","21"
"1757","VIENNA","12"
"1020","MILTON","7"
"42","CLAYTON","1"
"94001","HIRAM","10"
"170652","CLEVELAND","48"
"3178","PINCKNEY","21"
"182350","BOURBON","24"
"3133","SHEPHERD","21"
"134666","ERVING","20"
"229720","ATGLEN","37"
"4409","OCEAN GATE","29"
"7926","COSMOPOLIS","46"
"15380","SAINT STEPHENS","39"
"177197","BURNS","41"
"502","WESTMORLAND","4"
"121951","PLAIN CITY","34"
"8372","EVANSVILLE","49"
"5069","BLADENBORO","32"
"24473","BLUFFDALE","43"
"13595","KENLY","32"
"7595","ROYSE CITY","42"
"5600","RIVERSIDE","34"
"124453","TENINO","46"
"158518","NEWFIELDS","28"
"127804","MOOSE LAKE","22"
"182341","GOWER","24"
"5150","FRANKLINTON","32"
"191","UNIONTOWN","1"
"72162","BOILING SPRINGS LAKE","32"
"6974","FOLLY BEACH","39"
"108053","GRANITE SHOALS","42"
"14121","STRATFORD","35"
"7834","MOUNT JACKSON","45"
"1497","ABERDEEN","11"
"146031","GRAYSVILLE","41"
"1794","LAKE VILLA","12"
"15411","JOHNSONVILLE","39"
"113933","FOUR OAKS","32"
"89437","VILL. OF HIGHLAND HILLS","34"
"128192","WRIGHT CITY P.D","24"
"3320","WHITE PIGEON","21"
"419","LINCOLN","3"
"7409","NEEDVILLE","42"
"174511","BENNINGTON","28"
"3725","WESTON","24"
"5943","AUMSVILLE","36"
"6783","SHAMOKIN DAM","37"
"7474","LA VILLA","42"
"2987","ELK RAPIDS","21"
"4148","CHESILHURST","29"
"15854","GUN BARREL CITY","42"
"116053","INGRAM","42"
"244","SPRINGERVILLE","2"
"1183","DUNNELLON","9"
"210561","SOUTH BLOOMFIELD","34"
"5739","GRANITE","35"
"33269","MUKILTEO","46"
"5838","INOLA","35"
"182352","STEELVILLE","24"
"123758","TOOL","42"
"322","GENTRY","3"
"8806","BRIGGS","4"
"182465","NOEL","24"
"150743","WRIGHT CITY","24"
"2671","NORTH EAST","19"
"2804","ASHFIELD","20"
"321","PEA RIDGE","3"
"266902","EFFINGHAM","28"
"7507","JOSHUA","42"
"5342","JONESVILLE","32"
"1361","HARLEM","10"
"7920","WARDEN","46"
"100732","WHITEHALL","48"
"6341","HEMLOCK TOWNSHIP","37"
"10662","WELLSVILLE","15"
"7656","WOODVILLE","42"
"110888","BELLEVUE","11"
"182283","MARBLE HILL","24"
"4346","SOUTH BELMAR","29"
"203","ASHVILLE","1"
"41030","MILLERSVILLE","41"
"32394","SURGOINSVILLE","41"
"7044","MCCORMICK","39"
"182663","LICKING","24"
"7075","PACOLET","39"
"5895","GOLD BEACH","36"
"2602","DAMARISCOTTA","18"
"13395","WOLCOTT VILLAGE","31"
"2713","PRINCESS ANNE","19"
"24301","SHENANDOAH","42"
"5166","CREEDMOOR","32"
"52230","BUENA VISTA","10"
"47","BLOUNTSVILLE","1"
"24725","OROVILLE","46"
"1261","DAVENPORT","9"
"161361","WHITWELL","41"
"7186","LORETTO","41"
"627","DEL REY OAKS","4"
"902","MILLIKEN","5"
"7116","JACKSBORO","41"
"212329","ANNA","42"
"5213","PINEVILLE","32"
"33221","ALGONA","46"
"17670","PALISADE","5"
"901","JOHNSTOWN","5"
"3808","RONAN CITY","25"
"100438","MABTON","46"
"14277","CLATSKANIE","36"
"3352","LAWTON","21"
"24991","PALMYRA","48"
"3018","QUINCY","21"
"4438","LOWER ALLOWAYS CREEK TOW","29"
"19233","SAINT REGIS","16"
"7781","TAPPAHANNOCK","45"
"430","DANVILLE","3"
"116278","WELLINGTON","43"
"7129","BELLS","41"
"41865","NEWPORT","46"
"7072","INMAN","39"
"174384","STEVENSVILLE","25"
"214010","BONO","3"
"127021","BERNICE","17"
"1503","PRIEST RIVER","11"
"3062","OLIVET","21"
"5954","STANFIELD","36"
"5254","BURGAW","32"
"8371","MILLS","49"
"41513","POTH","42"
"5209","MARS HILL","32"
"161512","DANBURY","42"
"182366","SENATH","24"
"16812","DILLINGHAM","50"
"11277","HOLLAND","20"
"5712","WILSON","35"
"261","PIMA","2"
"5724","MANNFORD","35"
"5513","NEWTOWN","34"
"2994","NASHVILLE","21"
"149961","COLOMA CITY","21"
"41893","STANWOOD","46"
"260672","WHITEWRIGHT","42"
"14166","CHOUTEAU","35"
"5108","ANDREWS","32"
"3324","MARLETTE","21"
"1457","ELLAVILLE","10"
"3154","KALKASKA","21"
"329","GREEN FOREST","3"
"1115","VIRGINIA GARDENS","9"
"9773","UNADILLA","10"
"144895","CALERA","35"
"13954","MOUNT STERLING","34"
"5300","NORWOOD","32"
"5837","CHELSEA","35"
"91420","WHITNEY","42"
"272582","LAMAR","3"
"888","CENTER","5"
"5689","WESTON","34"
"154699","COUPEVILLE","46"
"99302","PINE RIDGE","39"
"2474","CADIZ","16"
"92016","BREWSTER","46"
"130028","HOOKER","35"
"169889","HUDSON OAKS","42"
"1128","BUNNELL","9"
"201464","BURNSVILLE","32"
"116136","BOVINA","42"
"57933","NEW JOHNSONVILLE","41"
"43381","NEWBERRY","9"
"108135","ROANOKE","42"
"109971","MURRIETA","4"
"3317","CONSTANTINE","21"
"293","MARANA","2"
"52287","CLEVELAND","10"
"7912","EAST WENATCHEE","46"
"182657","FORSYTH","24"
"41894","SULTAN","46"
"182419","DUQUESNE","24"
"7012","CITY VIEW","39"
"49548","COMBES","42"
"11465","THREE OAKS","21"
"5882","RAINIER","36"
"1334","RINGGOLD","10"
"5854","SKIATOOK","35"
"100","MIDLAND","1"
"2676","HURLOCK","19"
"3924","LOVELOCK","27"
"3077","MONTROSE","21"
"447","SUTTER CREEK","4"
"7928","OCEAN SHORES","46"
"182424","HILLSBORO","24"
"124796","WALWORTH","48"
"1027","GEORGETOWN","7"
"210307","CRIDERSVILLE","34"
"169024","ST. STEPHEN","39"
"162950","MIDLAND CITY","1"
"1931","ROCKDALE","12"
"5178","ANGIER","32"
"8166","ADAMS","48"
"142059","PEARL RIVER","17"
"7987","AIRWAY HEIGHTS","46"
"219611","WEST LIBERTY","34"
"3855","VALLEY","26"
"2618","EAST MILLINOCKET","18"
"3728","SAINT ROBERT","24"
"1139","BOWLING GREEN","9"
