"","city","state"
"50803","ORANGE BEACH","1"
"232439","GANTT","1"
"5234","BATTLEBORO","32"
"236","MCINTOSH","1"
"13474","HOLDEN BEACH","32"
"1646","MCCOOK","12"
"123190","PERRY","39"
"285530","FISHER","17"
"185449","OLAR","39"
"66058","EDISTO BEACH","39"
"182304","GRANDIN","24"
"13648","TOPSAIL BEACH","32"
"63171","ORANGE","28"
"89093","BEECH MOUNTAIN","32"
"14318","BUTTE FALLS","36"
"43834","BARWICK","10"
"182298","LINN CREEK","24"
"161237","TOWNSEND","41"
"182559","FORISTELL","24"
"182551","BUNKER","24"
"182510","WARDELL","24"
"3039","MACKINAW CITY","21"
"8357","BAGGS","49"
"34609","VICTOR","5"
"5322","MORRISVILLE","32"
"124402","ELMER CITY","46"
"23790","WEST UNION","39"
"141139","CHESWOLD","7"
"26051","DE BEQUE","5"
"109515","VANCE","1"
"170392","ROY","46"
"52258","NEWINGTON","10"
"43159","MOUNT CRESTED BUTTE","5"
"248456","SAWYER","35"
"9881","HELEN","10"
"16493","BRADSHAW","47"
"49071","COAL CENTER","37"
"5384","BUCKLAND","34"
"86886","GREAT OAKS","19"
"152400","TUSHKA","35"
"7293","SELMA","42"
"157","HILLSBORO","1"
"24756","SPRINGDALE","46"
"17009","ARLEY","1"
"99247","SELLERS","39"
"9216","EMPIRE","5"
"148370","COLLBRAN","5"
"198340","SADIEVILLE","16"
"276171","OAKLEY","21"
"99300","CHAPIN","39"
"22453","COYLE","35"
"32903","SUNSET VALLEY","42"
"83252","MUSTANG RIDGE","42"
"256586","KINLOCH","24"
"149539","SWAN'S ISLAND","18"
"15560","GRAND JUNCTION","41"
"12962","JEMEZ SPRINGS","30"
"182355","EVERTON","24"
"76968","EAST ELLIJAY","10"
"260241","SALTILLO","41"
"23753","ATLANTIC BEACH","39"
"199586","MARTINSBURG","24"
"161290","GIBSON","41"
"169410","CUMBERLAND CITY","41"
"1223","MANALAPAN","9"
"85322","PINEHURST","10"
"102247","HAMILTON","10"
"58948","HARPERS FERRY/BOLIVAR","47"
"75944","TRINIDAD","4"
"100382","WINTHROP","46"
"876","DINOSAUR","5"
"1033","ELLENDALE","7"
"170899","BAKER HILL","1"
"7057","EUTAWVILLE","39"
"4546","RED RIVER","30"
"85379","DANIELSVILLE","10"
"69686","MOUND VALLEY","15"
"41603","WINHALL","44"
"1024","BETHANY BEACH","7"
"68","PENNINGTON","1"
"182447","LAKE LAFAYETTE","24"
"179239","ETOWAH","3"
"306","JEROME","2"
"177250","TOONE","41"
"8079","DAVY","47"
"4183","WEST WILDWOOD","29"
"5089","RHODHISS","32"
"9236","CENTRAL CITY","5"
"7241","MASON","41"
"125049","SHORTER","1"
"7059","SANTEE","39"
"4397","HARVEY CEDARS","29"
"161381","COPPERHILL","41"
"52215","BRASELTON","10"
"99214","BONNEAU","39"
"227","NEW SITE","1"
"139641","NORTHPORT","46"
"182342","HOLT","24"
"30324","BUNN","32"
"1025","DAGSBORO","7"
"274519","FAYETTEVILLE","12"
"182631","ST. MARYS","24"
"123651","MARSHALL CREEK","42"
"126445","DANVILLE","10"
"97716","NORTH TOPSAIL BEACH","32"
"185533","LYNCHBURG","39"
"8054","HARPERS FERRY","47"
"125001","NAPIER FIELD","1"
"44301","GODLEY","12"
"75550","SAINT PAUL ISLAND","50"
"7419","JAMAICA BEACH","42"
"157034","POLLOCK","17"
"1185","JUPITER ISLAND","9"
"8567","PRICEVILLE","1"
"7140","ROSSVILLE","41"
"2526","COLLINSTON","17"
"107791","NORWAY","39"
"208431","ELLSINORE","24"
"68799","MCINTYRE","10"
"16491","KIMBALL","47"
"86239","PAWNEE ROCK","15"
"34523","PARKER","5"
"36880","GAINES","21"
"26016","PARACHUTE","5"
"247749","DUCK","32"
"26081","DILLON","5"
"75","RANBURNE","1"
"144886","STRINGTOWN","35"
"18612","LONDON MILLS","12"
"5321","ROLESVILLE","32"
"4590","ELLICOTTVILLE","31"
"169356","PETERSBURG","41"
"114016","PARKTON PD","32"
"68767","PAVO","10"
"7585","ONALASKA","42"
"141332","SHALIMAR","9"
"3161","SAND LAKE","21"
"20073","KINGSTON","21"
"196154","ST. FLORIAN","1"
"124851","HULETT","49"
"9237","GRAND LAKE","5"
"162392","WILKESON","46"
"182521","PLATTE WOODS","24"
"60742","REMERTON","10"
"35199","DAVISBORO","10"
"9277","FAIRPLAY","5"
"7844","POCAHONTAS","45"
"5255","SURF CITY","32"
"153624","GREELEYVILLE","39"
"223005","DOZIER","1"
"86","ROCKFORD","1"
"256397","PURCELL","24"
"5237","WHITAKERS","32"
"195111","BIG WATER","43"
"3338","AKRON","21"
"5072","WHITE LAKE","32"
"170854","NENANA","50"
"7978","NORTH BONNEVILLE","46"
"35208","WARWICK","10"
"99194","SALLEY","39"
"211213","WEISSPORT","37"
"170855","ST. PAUL","50"
"189472","ROLLA","15"
"3275","ROTHBURY","21"
"106546","KEYES","35"
"92010","VADER","46"
"100076","STOCKTON","43"
"182654","BRANSON WEST","24"
"9889","LAVA HOT SPRINGS","11"
"148924","BYROMVILLE","10"
"5793","BOLEY","35"
"5872","MONROE","36"
"217469","BUTTERFIELD VILLAGE","24"
"48358","ROSSLYN FARMS","37"
"167709","WASHINGTONVILLE","34"
"169184","FAITH","40"
"147426","LA BARGE","49"
"182664","SUMMERSVILLE","24"
"20077","BLOOMINGDALE","21"
"68405","RIDGWAY","5"
"217589","DEEPWATER","24"
"182532","FAIR PLAY","24"
"7811","BURKEVILLE","45"
"8601","SIPSEY","1"
"50297","HARRINGTON","46"
"7172","SCOTTS HILL","41"
"5543","WAITE HILL","34"
"52214","MAYSVILLE","10"
"182273","WASHBURN","24"
"731","COLMA","4"
"85403","MILAN","10"
"179279","ROSE BUD","3"
"74545","ROPESVILLE","42"
"198307","LONE OAK","16"
"43203","RIDGEWAY","5"
"113888","YOUNGSVILLE","32"
"70303","KINDE","21"
"248301","EDISON","34"
"53","MCKENZIE","1"
"1118","GOLDEN BEACH","9"
"14146","BOKOSHE","35"
"114097","EMERADO","33"
"240176","SUMMERSET","40"
"15481","HEMINGWAY","39"
"60610","HOBOKEN","10"
"77951","HOLYROOD","15"
"99206","EHRHARDT","39"
"99338","CAMPOBELLO","39"
"5103","BROOKFORD","32"
"191057","FERRELVIEW","24"
"232756","RAVENDEN","3"
"92006","MOSSYROCK","46"
"28236","ELLSWORTH","21"
"3181","MACKINAC ISLAND","21"
"58997","DELBARTON","47"
"5247","HOLLY RIDGE","32"
"169775","HAWK COVE","42"
"182345","TRIMBLE","24"
"5068","LEWISTON","32"
"13506","CATAWBA","32"
"1538","SMELTERVILLE","11"
"5124","BRIDGETON","32"
"147618","TRIANA","1"
"146004","ETHRIDGE","41"
"149458","PORT VINCENT","17"
"266738","ESSEX","24"
"3006","EAU CLAIRE","21"
"182459","HAWK POINT","24"
"18865","WHITESTOWN","13"
"91482","NEW DEAL","42"
"16162","ONLEY","45"
"288824","COALTON","34"
"36977","OTTER LAKE","21"
"7020","AYNOR","39"
"131408","KENDLETON","42"
"248590","STONEWALL","35"
"57239","CARMICHAELS","37"
"182652","REEDS SPRING","24"
"26586","WHIGHAM","10"
"1217","GULF STREAM","9"
"5963","GASTON","36"
"145913","LANE","39"
"189518","MACKSVILLE","15"
"7823","QUANTICO","45"
"185563","SPRINGFIELD","39"
"5292","LAKE LURE","32"
"15695","SURFSIDE BEACH","42"
"18774","EAST CARONDELET","12"
"5733","ELMORE CITY","35"
"86559","BENHAM","16"
"93924","FRANKLIN SPRINGS","10"
"182368","ARBYRD","24"
"4714","GLEN PARK","31"
"20059","CARSONVILLE","21"
"90","RED LEVEL","1"
"109048","BAYFIELD","48"
"182496","MARSTON","24"
"5267","SALUDA","32"
"52773","HILLSDALE","12"
"39001","WINFALL","32"
"39286","KIRTLAND HILLS","34"
"158103","FLOODWOOD","22"
"161353","CALHOUN","41"
"189439","NORWICH","15"
"6251","FRANKLIN","37"
"138512","CARLISLE","39"
"4304","ALLENHURST","29"
"75238","NORTH FORK","47"
"5298","WAGRAM","32"
"210660","ACHILLE","35"
"144971","HOWE","35"
"5805","LUTHER","35"
"882","WIGGINS","5"
"22388","HULBERT","35"
"422","JOHNSON","3"
"202155","FAIRFIELD","37"
"24319","ROSE CITY","42"
"1031","OCEAN VIEW","7"
"1127","CENTURY","9"
"3483","MINNETONKA BEACH","22"
"99191","BURNETTOWN","39"
"5297","GIBSON","32"
"38","ROBERTSDALE","1"
"238650","CALUMET","35"
"52725","WAMAC","12"
"169205","BIG SANDY","41"
"16763","ENCAMPMENT","49"
"13684","NEWTON GROVE","32"
"173706","METAMORA TOWNSHIP","21"
"93978","LAKE PARK","10"
"186342","MONTGOMERY","42"
"239","PINE HILL","1"
"7927","OAKVILLE","46"
"43210","GRANADA","5"
"864","MOUNTAIN VIEW","5"
"164896","LITTLE RIVER","15"
"178990","LOCKHART","1"
"5743","MCCURTAIN","35"
"149112","TIGNALL","10"
"3272","HESPERIA","21"
"4699","HUNTER","31"
"109372","LOUISVILLE","1"
"14320","CULVER","36"
"33074","URBANNA","45"
"124394","REARDAN","46"
"18273","COOLIDGE","10"
"191022","MATTHEWS","24"
"850","BASALT","5"
"254716","BENTLEY","15"
"67546","KLAWOCK","50"
"60745","IDEAL","10"
"91831","LA CROSSE","45"
"7042","SWANSEA","39"
"261124","SPRINGDALE","43"
"199","WADLEY","1"
"20560","HOT SPRINGS","25"
"109397","KINSTON","1"
"7797","MIDDLEBURG","45"
"177188","BERRY HILL","41"
"774","FORT JONES","4"
"4536","CUBA","30"
"5233","BAILEY","32"
"182527","EDGERTON","24"
"24779","DANVILLE","47"
"201","HURTSBORO","1"
"147676","MILLRY","1"
"185633","COLMAN","40"
"230169","GAINES TOWNSHIP","37"
"89243","TAYLORTOWN","32"
"190800","POLO","24"
"1002","FELTON","7"
"1028","GREENWOOD","7"
"5203","PINK HILL","32"
"92008","PE ELL","46"
"195334","NOOKSACK TRIBAL","46"
"6988","TURBEVILLE","39"
"1501","SUN VALLEY","11"
"126488","PONDERAY","11"
"70202","GALIEN","21"
"227063","HARDIN","24"
"24768","ROSALIA","46"
"6404","MILLBOURNE","37"
"46282","CARROLL","28"
"162913","ELBERTA","1"
"208788","EMINENCE","24"
"40","SUMMERDALE","1"
"8018","GRANTSVILLE","47"
"191163","BEVERLY HILLS","24"
"93946","MOUNT AIRY","10"
"99243","SOCIETY HILL","39"
"6090","WEST ELIZABETH","37"
"39931","EAST ROCHESTER","37"
"137261","PENINSULA","34"
"138977","LONE OAK","42"
"166452","SUGAR HILL","28"
"172890","LINN VALLEY","15"
"60754","UVALDA","10"
"199692","BLAND","24"
"36106","ANDALE","15"
"17656","FLAGLER","5"
"223274","GUY","3"
"7166","MIDDLETON","41"
"1575","BEDFORD PARK","12"
"70174","HOPKINS","21"
"5061","BANNER ELK","32"
"131535","HAWLEY","42"
"179195","CADDO VALLEY","3"
"4520","VAUGHN","30"
"6647","JAMESTOWN","37"
"156230","GREENSBORO","9"
"161102","COWARD","39"
"4390","BARNEGAT LIGHT","29"
"202955","PELION","39"
"33689","CRAIG","50"
"174370","JOLIET","25"
"188287","KIOWA","5"
"265050","WILSON","17"
"9235","NEW CASTLE","5"
"35206","IRWINTON","10"
"1784","YATES CITY","12"
"5064","AURORA","32"
"36001","CEDAR VALE","15"
"34608","CRIPPLE CREEK","5"
"178738","PEPIN","48"
"1332","WHITESBURG","10"
"8394","SKAGWAY","50"
"92009","TOLEDO","46"
"166506","LANGDON","28"
"77969","ATTICA","15"
"154654","NISQUALLY TRIBAL","46"
"94461","HOLIDAY HILLS","12"
"43667","NEWTON","10"
"169237","FRIENDSHIP","41"
"5141","MAGNOLIA","32"
"157090","TICKFAW","17"
"5301","OAKBORO","32"
"16375","ILWACO","46"
"99250","HARLEYVILLE","39"
"6652","DELAWARE WATER GAP BORO","37"
"199882","NAYLOR","24"
"251635","OXFORD","48"
"5137","FAISON","32"
"196452","PANGBURN","3"
"253891","ATWOOD","12"
"190967","VERONA","24"
"5097","PINE KNOLL SHORES","32"
"32776","RANSOM CANYON","42"
"182677","HARTVILLE","24"
"182314","CLEVELAND","24"
"223099","EXCEL","1"
"164","HAYNEVILLE","1"
"1463","PLAINS","10"
"48740","MIFFLIN","37"
"186464","EAST MOUNTAIN","42"
"159733","MAGNOLIA","34"
"182506","GAINESVILLE","24"
"22681","WESTON","36"
"7184","GATES","41"
"12128","SUNFLOWER","23"
"2461","BURNSIDE","16"
"145809","COTTAGEVILLE","39"
"289066","CANTON","35"
"7972","RUSTON","46"
"15357","NEW SHOREHAM","38"
"182476","IBERIA","24"
"131758","THRALL","42"
"147499","SILVERHILL","1"
"191093","LOWRY CITY","24"
"6876","PENN BORO","37"
"9726","LEARY","10"
"204243","COULEE CITY","46"
"420","GREENLAND","3"
"22","MORRIS","1"
"34601","OAK CREEK","5"
"60765","PATTERSON","10"
"162196","HAYMARKET","45"
"182641","BIRCH TREE","24"
"34533","GREEN MOUNTAIN FALLS","5"
"9252","IGNACIO","5"
"1044","MEXICO BEACH","9"
"22640","COBURG","36"
"5788","PORUM","35"
"91014","KADOKA","40"
"241","ADDISON","1"
"156128","MICANOPY","9"
"49037","HOOVERSVILLE","37"
"74772","HUTTO","42"
"161239","CHARLESTON","41"
"2715","OXFORD","19"
"1201","OAKLAND","9"
"182571","BELLA VILLA","24"
"204994","NORTH COURTLAND","1"
"22560","PORTER","35"
"3277","ROSE CITY","21"
"154656","SWINOMISH TRIBAL","46"
"185","GRANT","1"
"5891","POWERS","36"
"190664","KIMBALL","22"
"190803","NEW BLOOMFIELD","24"
"7977","LA CONNER","46"
"99286","ELGIN","39"
"182503","ALTON","24"
"260628","TRENTON","42"
"5833","CLAYTON","35"
"2323","PEMBROKE","16"
"3334","MORRICE","21"
"1318","RAY CITY","10"
"97820","STEELE","33"
"190537","ELMORE","22"
"7200","MONTEAGLE","41"
"161404","WINFIELD","41"
"185609","ARMOUR","40"
"11568","PORT AUSTIN","21"
"41850","BINGEN","46"
"30243","NEWLAND","32"
"68590","ALAPAHA","10"
"5142","CALYPSO","32"
"11626","DRYDEN","21"
"1003","FREDERICA","7"
"33647","DIAMONDVILLE","49"
"136720","CHOCOWINITY","32"
"77931","CHEROKEE","15"
"26926","WEST CITY","12"
"2672","PORT DEPOSIT","19"
"5175","LITTLETON","32"
"5207","HIGHLANDS","32"
"93962","HOSCHTON","10"
"149150","HAGERMAN","11"
"7640","WESTOVER HILLS","42"
"49","SNEAD","1"
"7466","SEVEN POINTS","42"
"3079","OTISVILLE","21"
"4999","SODUS VILLAGE","31"
"169170","ESTELLINE","40"
"43757","FAIRMOUNT","10"
"18098","COLEMAN","9"
"15535","GALLAWAY","41"
"9274","LOG LANE VILLAGE","5"
"131045","MAYESVILLE","39"
"182494","PARMA","24"
"5229","VASS","32"
"16191","RICH CREEK","45"
"114","IDER","1"
"176891","CLAYSVILLE","37"
"99274","YEMASSEE","39"
"49060","TIDIOUTE","37"
"3229","GRANT","21"
"64","MAPLESVILLE","1"
"182490","LAURIE","24"
"169238","MAURY CITY","41"
"2331","BROWNSVILLE","16"
"78052","SCRANTON","15"
"3417","HILLTOP","22"
"33332","ANMOORE","47"
"196325","SULPHUR SPRINGS","3"
"194743","CHILLICOTHE","42"
"7051","PROSPERITY","39"
"5245","SEABOARD","32"
"5897","SISTERS","36"
"196455","MCRAE","3"
"154655","SKOKOMISH TRIBAL","46"
"8163","PINEVILLE","47"
"182483","JONESBURG","24"
"137306","HYDRO","35"
"154200","O'DONNELL","42"
"3170","BRITTON","21"
"7793","HALIFAX","45"
"43745","CANON","10"
"141182","LAWTEY","9"
"1290","CENTER HILL","9"
"199770","MILLER","24"
"143189","LAKE OZARK","24"
"32286","ELLOREE","39"
"68722","LUTHERSVILLE","10"
"238382","JEWETT","34"
"182675","FORDLAND","24"
"15394","MCBEE","39"
"446","PLYMOUTH","4"
"26007","AVON","5"
"171","OWENS CROSS ROADS","1"
"196413","WEINER","3"
"5323","HOLLY SPRINGS","32"
"131011","CLIO","39"
"6267","VINTONDALE BOROUGH","37"
"182567","IRON MOUNTAIN LAKE","24"
"27054","PALMYRA","12"
"2322","CROFTON","16"
"48389","BRIDGEWATER","37"
"196340","QUITMAN","3"
"254684","ONAGA","15"
"138750","POINT COMFORT","42"
"3100","CALUMET","21"
"43697","BALL GROUND","10"
"182230","BYHALIA","23"
"166316","BRIDGER","25"
"190871","CARDWELL","24"
"1413","FRANKLIN","10"
"93952","WAVERLY HALL","10"
"118856","COGGON","14"
"868","BAYFIELD","5"
"93961","ARCADE","10"
"102","ARITON","1"
"773","ETNA","4"
"5507","INDIAN HILL","34"
"50833","LEIGHTON","1"
"7155","ARDMORE","41"
"115546","NORTH","39"
"8071","MAN","47"
"179","BRILLIANT","1"
"7210","KENTON","41"
"4000","NEWINGTON","28"
"8404","NORTH POLE","50"
"3323","LEXINGTON","21"
"95009","LYNCH","16"
"64313","OLD FORT","32"
"223357","HARDY","3"
"212387","PONDER","42"
"216503","SAVOY","20"
"5093","ATLANTIC BEACH","32"
"124465","TEKOA","46"
"212404","MILFORD","42"
"351","VILONIA","3"
"33817","LEXINGTON","1"
"5235","MIDDLESEX","32"
"23688","WAGENER","39"
"3806","WEST YELLOWSTONE","25"
"99231","FORT LAWN","39"
"114028","CLEVELAND","32"
"182457","WINFIELD","24"
"223318","KEISER","3"
"169","GURLEY","1"
"4545","QUESTA","30"
"77040","MOUNTAIN CITY","10"
"38989","WOODLAND","32"
"182487","NEW FLORENCE","24"
"69636","UDALL","15"
"212659","DRISCOLL","42"
"7068","RIDGE SPRING","39"
"5775","VALLIANT","35"
"25347","ODENVILLE","1"
"35095","ROBERTA","10"
"57548","AUBURN","37"
"4312","DEAL","29"
"2717","TRAPPE","19"
"5494","ARLINGTON HEIGHTS","34"
"3311","MEMPHIS","21"
"216278","MARION","17"
"50071","DOVER","44"
"92007","NAPAVINE","46"
"3315","BURR OAK","21"
"1291","WEBSTER","9"
"3109","ELKTON","21"
"250316","SAN FELIPE","42"
"132206","TIETON","46"
"8074","WAR","47"
"18769","BROOKLYN","12"
"182276","LIBERAL","24"
"1859","GREENVIEW","12"
"141007","OURAY","5"
"178211","ST. PAUL","45"
"258073","KILLDEER","33"
"3107","CASEVILLE","21"
"206819","COLDWATER","15"
"39196","NEW MADISON","34"
"22462","WRIGHT CITY","35"
"26593","BALDWIN","10"
"99211","BLUFFTON","39"
"160410","KOPPEL","37"
"21850","LAUREL PARK","32"
"161372","TELLICO PLAINS","41"
"208099","BLACKDUCK","22"
"91005","MCLAUGHLIN","40"
"39440","MARSHALLVILLE","34"
"8534","KILLEN","1"
"5223","STAR","32"
"214098","CAMMACK VILLAGE","3"
"54234","VERNON","21"
"78848","UBLY","21"
"93294","HOTCHKISS","5"
"2470","TAYLORSVILLE","16"
"252328","MADISON","3"
"5839","OOLOGAH","35"
"182466","PINEVILLE","24"
"2362","WEST POINT","16"
"2035","BURNS HARBOR","13"
"153603","EASTOVER","39"
"33635","MOORCROFT","49"
"5197","PINE LEVEL","32"
"171137","HERMITAGE","3"
"78083","EASTBOROUGH","15"
"26333","WHITE SPRINGS","9"
"196376","SWIFTON","3"
"125770","LA VETA","5"
"3349","GOBLES","21"
"50464","GRANVILLE","47"
"190596","SILVER LAKE","22"
"3749","EDMUNDSON","24"
"14180","SOUTH COFFEYVILLE","35"
"80596","WOODRIDGE VILLAGE","31"
"169332","ST. JOSEPH","41"
"182562","OSCEOLA","24"
"115477","LAKE VIEW","39"
"48813","WEST LEBANON TOWNSHIP","37"
"190957","WAVERLY","24"
"777","TULELAKE","4"
"2290","MILLERSBURG","16"
"162622","ELK MOUND","48"
"1360","DOERUN","10"
"39494","SEILING","35"
"166","NOTASULGA","1"
"3044","FARWELL","21"
"166330","ST. IGNATIUS","25"
"1039","WALDO","9"
"844","GEORGETOWN","5"
"80295","DEPOSIT VILLAGE","31"
"248589","ALLEN","35"
"219449","OWENSVILLE","34"
"39738","GERVAIS","36"
"3140","PARMA","21"
"11741","MARION","21"
"5324","WARRENTON","32"
"687","ISLETON","4"
"153634","LAKE ANDES","40"
"147008","SUMAS","46"
"70962","FLORDELL HILLS","24"
"150069","PARMA SANDSTONE","21"
"7256","WATERTOWN","41"
"210740","DAVENPORT","35"
"9224","ELIZABETH","5"
"2402","BROMLEY","16"
"113815","YAUPON BEACH","32"
"15472","CHESNEE","39"
"147644","WEDOWEE","1"
"177127","WHITEWOOD","40"
"22633","MERRILL","36"
"31","MOUNT VERNON","1"
"16270","SAINT PAUL","45"
"7321","BERTRAM","42"
"169247","ALEXANDRIA","41"
"7849","DAMASCUS","45"
"182549","ORRICK","24"
"5096","EMERALD ISLE","32"
"182498","DIAMOND","24"
"5867","WAYNOKA","35"
"4322","INTERLAKEN","29"
"1323","RICHMOND HILL","10"
"533","BRADBURY","4"
"52202","PINE MOUNTAIN","10"
"219433","SARDINIA","34"
"196344","PLUMMERVILLE","3"
"170886","AUTAUGAVILLE","1"
"222977","LEESBURG","1"
"8356","HANNA","49"
"771","DORRIS","4"
"3045","FROST TOWNSHIP","21"
"177594","RISING STAR","42"
"7787","MIDDLETOWN","45"
"251809","ALPINE","49"
"77099","POULAN","10"
"9291","BRECKENRIDGE","5"
"139849","THERESA","48"
"92013","WILBUR","46"
"3999","NEW CASTLE","28"
"1174","GREENVILLE","9"
"48854","SHICKSHINNY","37"
"217942","ENNIS","25"
"77984","PERRY","15"
"4181","STONE HARBOR","29"
"1162","MINNEOLA","9"
"190798","BRAYMER","24"
"1451","ARAGON","10"
"390","ELAINE","3"
"33241","TONASKET","46"
"206","RIVERSIDE","1"
"20025","PENTWATER","21"
"7959","COULEE DAM","46"
"2697","EDMONSTON","19"
"93720","HYPOLUXO","9"
"182307","DREXEL","24"
"5138","KENANSVILLE","32"
"129404","MAYSVILLE","32"
"190986","SOUTHWEST CITY","24"
"8026","SMITHERS","47"
"18318","CHALLIS","11"
"102129","EUHARLEE","10"
"110908","SPIRIT LAKE","11"
"139574","ROSLYN","46"
"124393","ODESSA","46"
"7078","JONESVILLE","39"
"3321","MENDON","21"
"6204","HULMEVILLE","37"
"877","MANCOS","5"
"4526","RUIDOSO DOWNS","30"
"6993","LAKEVIEW","39"
"3351","LAWRENCE","21"
"5228","PINEBLUFF","32"
"158490","DALTON","28"
"3288","ONAWAY","21"
"107676","WEST PELZER","39"
"5104","CLAREMONT","32"
"14306","PRAIRIE CITY","36"
"5129","MANTEO","32"
"1016","DELMAR","7"
"194488","BARTLETT","42"
"134958","PARMA.SANDSTONE","21"
"1464","TALBOTTON","10"
"127","SARDIS CITY","1"
"108854","TWISP","46"
"1544","CASCADE","11"
"239852","MIDWAY","37"
"98","LEVEL PLAINS","1"
"7919","GRAND COULEE","46"
"177754","GODLEY","42"
"187434","WOODSTOCK","1"
"48877","MOUNT JEWETT","37"
"5830","MAUD","35"
"14696","KIDDER TOWNSHIP","37"
"2981","DOUGLAS","21"
"91233","MARTINDALE","42"
"23975","SHARON","41"
"1438","WOODBURY","10"
"16846","CREOLA","1"
"7944","CARNATION","46"
"64248","COOLEEMEE","32"
"16242","HONAKER","45"
"196402","BEARDEN","3"
"16199","KILMARNOCK","45"
"900","KERSEY","5"
"32539","OYSTER CREEK","42"
"53133","HIGHLAND","15"
"148","HOLLYWOOD","1"
"1302","OAK HILL","9"
"5792","WELEETKA","35"
"507","MARICOPA","4"
"41890","GRANITE FALLS","46"
"182453","LA GRANGE","24"
"22672","ROCKAWAY","36"
"2662","RIDGELY","19"
"219716","WAYNESBURG","34"
"3643","FLOWOOD","23"
"154032","ARCOLA","42"
"7799","LOUISA","45"
"92616","BEAR CREEK","1"
"33193","REPUBLIC","46"
"152690","FALLS CITY","36"
"195","CARROLLTON","1"
"7384","SPUR","42"
"166444","FRANCONIA","28"
"16515","PIEDMONT","47"
"3342","MAYVILLE","21"
"5241","RICH SQUARE","32"
"35055","NAHUNTA","10"
"143002","BIWABIK","22"
"47391","KITTY HAWK","32"
"17715","PIERCE","5"
"66565","WEST TAWAKONI","42"
"5339","LUCAMA","32"
"94009","GEORGETOWN","10"
"132640","BRISTOL BAY BOROUGH","50"
"1535","WALLACE","11"
"184246","ADDYSTON","34"
"169328","HENNING","41"
"7854","POUND","45"
"18136","WOODBINE","10"
"157058","FRENCH SETTLEMENT","17"
"1940","CHERRY VALLEY","12"
"4992","SALEM VILLAGE","31"
"99554","JOHNSON CITY","42"
"9234","SILT","5"
"7525","LEXINGTON","42"
"121627","SHARPSBURG","32"
"2436","MULDRAUGH","16"
"139538","LANGLEY","46"
"182531","HUMANSVILLE","24"
"7600","TATUM","42"
"3593","GLOSTER","23"
"254038","LELAND","12"
"60807","JEFFERSONVILLE","10"
"1411","BUCHANAN","10"
"52110","SARDIS","10"
"25981","COLUMBINE VALLEY","5"
"4612","AFTON","31"
"136238","CARRIZOZO","30"
"205057","DOUBLE SPRINGS","1"
"8022","MONTGOMERY","47"
"5226","ROBBINS","32"
"1289","BUSHNELL","9"
"82611","BOWMAN","39"
"14078","WESTVILLE","35"
"150098","NORTH BRANCH","21"
"6987","SUMMERTON","39"
"69657","GRANDVIEW PLAZA","15"
"231186","SUDAN","42"
"182640","MINER","24"
"303","PATAGONIA MARSHALS OFF","2"
"22678","ATHENA","36"
"244036","FRANKLIN GROVE","12"
"670","COLFAX","4"
"43737","MCCAYSVILLE","10"
"5130","NAGS HEAD","32"
"14153","MEEKER","35"
"32219","LAMAR","39"
"120987","TEXICO","30"
"97540","SHALLOTTE","32"
"182488","STOVER","24"
"41901","RAINIER","46"
"234","PARRISH","1"
"83958","SOMERSET","48"
"7807","CAPE CHARLES","45"
