,city,aypi,population
717,JERSEY CITY,0.004673039,260005
718,ANAHEIM,0.013874236,346956
719,NEW ORLEANS,-0.003699533,387113
720,CORPUS CHRISTI,0.009780763,319211
721,ST. PETERSBURG,0.000836334,250772
722,BUFFALO,-0.009638053,258419
723,NEWARK,-0.004604864,279110
724,VIRGINIA BEACH,0.016551517,451102
725,TAMPA,0.008884646,357124
726,ST. PAUL,0.002745944,297984
727,SACRAMENTO,0.016909194,482767
728,WICHITA,0.009751101,387493
729,TOLEDO,-0.006991301,281150
730,CINCINNATI,-0.007468161,297671
731,KANSAS CITY,-0.005521307,304252
732,PITTSBURGH,-0.009308483,307613
733,OMAHA,0.011042399,438465
734,ST. LOUIS,-0.005840375,318574
735,ALBUQUERQUE,0.015820397,558874
736,TUCSON,0.014499575,527328
737,MIAMI,0.007386534,421996
738,OAKLAND,0.005990493,409994
739,AUSTIN,0.027312173,844869
740,MINNEAPOLIS,0.00297813,404461
741,TULSA,0.003509716,393189
742,LONG BEACH,0.008330747,471123
743,ATLANTA,0.004410007,424497
744,PORTLAND,0.015717748,613268
745,INDIANAPOLIS,0.018457458,858238
746,OKLAHOMA CITY,0.008660032,501215
747,FORT WORTH,0.021966305,796467
748,CLEVELAND,-0.011181868,388655
749,EL PASO,0.01421685,680273
750,NASHVILLE,0.010784703,647689
751,DENVER,0.009406333,665353
752,SEATTLE,0.008966498,663410
753,WASHINGTON,0.001368018,658893
754,JACKSONVILLE,0.014068497,856021
755,BOSTON,0.004610335,654413
756,COLUMBUS,0.011123198,813105
757,MILWAUKEE,-0.001389234,600374
758,MEMPHIS,0.000706559,654922
759,BALTIMORE,-0.006699829,623513
760,LOUISVILLE METRO,0.007649151,677710
761,CHARLOTTE-MECKLENBURG,0.022801564,856916
762,SAN JOSE,0.014121552,1009679
763,SAN FRANCISCO,0.00710574,850294
764,DETROIT,-0.015432177,684694
765,HONOLULU,0.00840909,994034
766,PHOENIX,0.020639074,1529852
767,SAN ANTONIO,0.017787799,1428438
768,SAN DIEGO,0.013329002,1368690
769,DALLAS,0.008658749,1193862
770,LAS VEGAS METRO PD,0.026662157,1530899
771,PHILADELPHIA,-0.001987135,1559062
772,HOUSTON,0.008486824,2175955
773,CHICAGO,-0.002621135,2724121
774,LOS ANGELES,0.008348985,3906772
775,NEW YORK,0.005588787,8473938
